,QRS mean diff,Qtc mean diff,T peak end diff,Twave_amp diff
,Dofetilide 2014,,,
,0.0358918304514156,0.00127962802715482,0.00207765228906656,0.0496052875671571
,0.00931650401059222,0.0225181087749129,0.0586854526117879,0.146756147905531
,0.0448833632054297,0.0377466513227756,0.112018624265377,0.170589011240357
,0.0219940720977347,0.0333706770274002,0.163490779478608,0.220728603145266
,0.0316213117917748,0.0336045246529528,0.286022077708373,0.184794948108606
,0.024614596821319,0.0188323465595672,0.171952445093404,0.15206009063713
,0.00935143919999078,0.0180067397945432,0.153642288711056,0.169047544622509
,0.0174558616977468,0.025388078842926,0.210328316747088,0.166544270342749
,0.0369983155340687,0.0215410251365799,0.118864744693379,0.14113912569004
,0.0131246802804402,0.0233044343209844,0.194336033436268,0.119278557118271
,0.0178698717266345,0.00165181436079068,0.100900767559058,0.0766603415937245
,0.0119847051420328,0.0115485899392799,0.100989597190604,0.104457494523247
,0.0105865639657367,0.0113455929978646,0.0235849918755941,0.0473194110891806
,0.0113532255264222,0.00648073966966612,0.041373044959321,0.0489975122789543
,0.00841036967458372,0.0128365225632611,0.0211436305572691,0.0119965837022175
,Quinidine 2014,,,
,0.00298119501736394,0.00528827831881571,0.0504028454936164,0.0914814031593227
,0.020189781545118,0.00371955988104454,0.164305979526713,0.109270095918966
,0.0403536356843129,0.000280493023301912,0.0703980501655912,0.0509132875386539
,0.0112809703736204,0.000239585612405989,0.12580097060824,0.0839239529688312
,0.030211453149461,0.0020330423619335,0.0231132524087416,0.00773823577890789
,0.0423514570648959,0.0202268220068176,0.0661601203880491,0.0190702908202982
,0.00400840155761719,0.00674253567265296,0.0633544311250644,0.00464562217014647
,0.00756710645516751,0.0137919739161427,0.0620422974612513,0.0181256177880775
,0.0205997066830119,0.00829237281610527,0.011406708512492,0.00229126293737386
,0.0290758703169353,0.000883943745687647,0.0464351567534854,0.0590174495982529
,0.0441200968362922,0.00809256075659183,0.108449205088624,0.0783460780660912
,0.0250648294948448,0.00414217482841106,0.0686285511638703,0.07583301661286
,0.00498143645616556,0.00941553114040555,0.0482631663568517,0.0369957383500397
,0.00717834475658943,0.00370117678261539,0.00876203833878765,0.0265661837265864
,0.00561708876573035,0.00799465662285844,0.0120436454247327,0.0229549424204195
,Ranolazine 2014,,,
,0.020975369084036,0.00489347003365888,0.0209043294946367,0.0271147357146141
,0.00318110110255735,0.00602384753711777,0.00490885169684579,0.0372429266803524
,0.0129505022101541,0.00615582161435439,0.00538360982927627,0.0358427211457384
,0.0154942692649814,0.00085576134880674,0.0147745525449024,0.081582684314417
,0.00308903807271904,0.000741479101738865,0.00742400792347632,0.0936777662706489
,0.00907707959613024,0.00582320970157455,0.0230331411595858,0.0611254745214975
,0.0330476455155621,0.00528247214673084,0.0303075247457773,0.0448860965385089
,0.0497516075890949,0.00117842445079258,0.00404975300330382,0.0498498374017711
,0.00488458295097778,0.0113395757189467,0.0049249466634711,0.0692774480704004
,0.00251990504939663,0.0165378352826144,0.0951686451220622,0.0152624638108307
,0.00591132042020536,0.0209088224045382,0.10905564232191,0.0227303888726894
,0.00823779995500126,0.0241270864104737,0.0835851296751369,0.0107259184443818
,0.00348086303774053,0.0100089485161952,0.0278842304247028,0.00708182429759146
,0.00886291845733242,0.0105430780206921,0.00772264317954945,0.00564649336314871
,0.00731975563079825,0.0151371915010183,0.00192601986171653,0.00668920173111988
,Verapamil 2014,,,
,0.022461996352121,0.0151423621571193,0.00587435664504363,0.179433341825841
,0.00319905345915699,0.0278808840209205,0.00762073240394134,0.0830535281807106
,0.00599023005989612,0.023144915740796,0.017473284990292,0.0953372259521745
,0.0241893660813402,0.0157228671855396,0.00227746179534566,0.0171101090250482
,0.019070504406908,0.00793699386937592,0.00881639301295253,0.0555836028172154
,0.0072278915969176,0.0100472757163764,0.0040194731623066,0.0126644076728089
,0.0157314032030767,0.00706197733365187,0.0309754805296055,0.0326109211961803
,0.00765106913149863,0.00415999607295599,0.0166911123759752,0.0217789217186556
,0.0141590412218063,0.014011367974617,0.0142952469597841,0.00574659279076079
,0.00978053120842333,0.0106904710770894,0.0203807849705663,0.0266590790385714
,0.00417673862876136,0.00881752143541455,0.0364388104787836,0.0456618862300795
,0.0136894696364333,0.004761913430119,0.00950370751028869,0.0457804588438543
,0.0309260378632988,0.00728235191147978,0.0507079734248564,0.0272123379642318
,0.00463685799976018,0.00392784540365709,0.0183452468444024,0.0231098981935612
,0.00334087723063772,0.011355250218342,0.00950512183305059,0.0372715155286719
,Dofetilide 2016,,,
,4.03E-06,0.00910718384604493,0.0106961036185141,0.0384009140049484
,0.00541737952559813,0.0102464197691025,0.0116416729493757,0.0301811992090085
,0.00132013380573572,0.0133568793481641,0.0256717205853134,0.0137455018902227
,0.00848773040741865,0.00806669169811884,0.0452090087691808,0.0491145701003038
,0.0111248272542347,0.00420387495058336,0.0479238079161641,0.0886734574329194
,0.00175497817093112,0.0185356020946809,0.0648993212499643,0.0779450183821343
,0.00311166316630984,0.00956832884417958,0.0446104612275785,0.0489528579805964
,9.86E-05,0.00302939946749423,0.0499531171878789,0.0666486628260138
,0.0116339924480749,0.0263093029739503,0.0126793063750241,0.00774625920854485
,0.0117242862579455,0.0319184437720794,0.0866914392035906,0.0240300351957241
,0.00260309089462342,0.0228640071604615,0.089469825309626,0.0110398850565128
,0.00320278660543046,0.0175145124184046,0.0723768773258753,0.010107623157835
,0.0170697356997524,0.00967503874702403,0.0463964770950441,0.0579140148201118
,Lidocaine + Dofetilide,,,
